Player,Role,Amount,Team,Year,Player Origin
Jaydev Unadkat,Bowler,3000000,RPSG,2017,Indian
Jaydev Unadkat,Bowler,115000000,RR,2018,Indian
Jaydev Unadkat,Bowler,84000000,RR,2019,Indian
Jaydev Unadkat,Bowler,30000000,RR,2020,Indian
Jaydev Unadkat,Bowler,13000000,MI,2022,Indian
Jean-Paul Duminy,Batter,22000000,DC,2014,Overseas
Jean-Paul Duminy,All-Rounder,10000000,MI,2018,Overseas
Jeevan Mendis,All-Rounder,3750000,DC,2013,Overseas
Jesse Ryder,All-Rounder,19500000,DC,2013,Overseas
Jhye Richardson,Bowler,140000000,PBKS,2021,Overseas
Jitesh Sharma,Batter,1000000,MI,2016,Indian
Jitesh Sharma,Batter,2000000,PBKS,2022,Indian
Joe Denly,Batter,10000000,KKR,2019,Overseas
Joel Paris,Bowler,3000000,DC,2016,Overseas
Jofra Archer,All-Rounder,72000000,RR,2018,Overseas
Jofra Archer,All-Rounder,80000000,MI,2022,Overseas
Johan Botha,All-Rounder,33750000,DC,2013,Overseas
John Hastings,All-Rounder,5000000,CSK,2014,Overseas
John Hastings,Bowler,13000000,KKR,2016,Overseas
Jonny Bairstow,Batter,22000000,SRH,2019,Overseas
Jonny Bairstow,Batter,67500000,PBKS,2022,Overseas
Jos Buttler,Batter,38000000,MI,2016,Overseas
Jos Buttler,Batter,44000000,RR,2018,Overseas
Josh Hazlewood,Bowler,5000000,MI,2014,Overseas
Josh Hazlewood,Bowler,20000000,CSK,2020,Overseas
Josh Hazlewood,Bowler,77500000,RCB,2022,Overseas
Joshua Philippe,Batter,2000000,RCB,2020,Overseas
Juan Theron,Bowler,3000000,RR,2015,Overseas
Krishnappa Gowtham,All-Rounder,9000000,LSG,2022,Indian
K.Bhagath Varma,All-Rounder,2000000,CSK,2021,Indian
K.Bhagath Varma,All-Rounder,2000000,CSK,2022,Indian
K.C Cariappa,Bowler,2000000,RR,2021,Indian
K.C Cariappa,Bowler,3000000,RR,2022,Indian
K.C. Cariappa,Bowler,24000000,KKR,2015,Indian
